Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,Abu Dhabi Grand Prix,VER,Red Bull Racing,1.0,1.0,MEDIUM,1.0,91.677,,38.489,32.363,284.0,293.0,213.0,307.0,1,False,26.8,31.4,60.0,False,2.3,1.0
2025,Abu Dhabi Grand Prix,PIA,McLaren,1.0,1.0,HARD,1.0,92.906,,38.376,32.983,286.0,304.0,214.0,309.0,1,False,26.8,31.4,60.0,False,2.3,2.0
2025,Abu Dhabi Grand Prix,NOR,McLaren,1.0,1.0,MEDIUM,1.0,93.952,,38.68,34.027,286.0,295.0,214.0,305.0,1,False,26.8,31.4,60.0,False,2.3,3.0
2025,Abu Dhabi Grand Prix,LEC,Ferrari,1.0,1.0,MEDIUM,1.0,94.624,,38.861,33.83,284.0,303.0,212.0,313.0,1,False,26.8,31.4,60.0,False,2.3,4.0
2025,Abu Dhabi Grand Prix,ALO,Aston Martin,1.0,1.0,MEDIUM,2.0,94.98,,38.662,34.166,285.0,302.0,213.0,300.0,1,False,26.8,31.4,60.0,False,2.3,5.0
2025,Abu Dhabi Grand Prix,RUS,Mercedes,1.0,1.0,MEDIUM,1.0,95.453,,39.053,33.89,283.0,310.0,214.0,315.0,1,False,26.8,31.4,60.0,False,2.3,6.0
2025,Abu Dhabi Grand Prix,BOR,Kick Sauber,1.0,1.0,MEDIUM,1.0,95.941,,39.142,33.99,282.0,307.0,212.0,316.0,1,False,26.8,31.4,60.0,False,2.3,7.0
2025,Abu Dhabi Grand Prix,HAD,Racing Bulls,1.0,1.0,MEDIUM,1.0,96.661,,39.231,34.447,286.0,301.0,211.0,304.0,1,False,26.8,31.4,60.0,False,2.3,8.0
2025,Abu Dhabi Grand Prix,OCO,Haas F1 Team,1.0,1.0,MEDIUM,1.0,97.07,,39.668,34.309,289.0,306.0,212.0,306.0,1,False,26.8,31.4,60.0,False,2.3,9.0
2025,Abu Dhabi Grand Prix,TSU,Red Bull Racing,1.0,1.0,HARD,1.0,97.567,,39.515,34.714,286.0,297.0,211.0,320.0,1,False,26.8,31.4,60.0,False,2.3,10.0
2025,Abu Dhabi Grand Prix,LAW,Racing Bulls,1.0,1.0,MEDIUM,1.0,98.029,,39.405,35.128,284.0,293.0,212.0,300.0,1,False,26.8,31.4,60.0,False,2.3,11.0
2025,Abu Dhabi Grand Prix,BEA,Haas F1 Team,1.0,1.0,MEDIUM,1.0,98.391,,39.226,35.304,279.0,299.0,213.0,309.0,1,False,26.8,31.4,60.0,False,2.3,12.0
2025,Abu Dhabi Grand Prix,SAI,Williams,1.0,1.0,MEDIUM,1.0,99.01,,39.538,35.634,278.0,299.0,215.0,295.0,1,False,26.8,31.4,60.0,False,2.3,13.0
2025,Abu Dhabi Grand Prix,HAM,Ferrari,1.0,1.0,SOFT,1.0,99.335,,39.82,35.449,279.0,313.0,214.0,315.0,1,False,26.8,31.4,60.0,False,2.3,14.0
