Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,Italian Grand Prix,VER,Red Bull Racing,1.0,1.0,MEDIUM,1.0,87.159,,29.088,28.517,321.0,309.0,305.0,284.0,1,False,26.6,44.2,43.0,False,1.8,1.0
2025,Italian Grand Prix,NOR,McLaren,1.0,1.0,MEDIUM,1.0,87.43,,29.911,27.903,330.0,312.0,314.0,267.0,1,False,26.6,44.2,43.0,False,1.8,2.0
2025,Italian Grand Prix,PIA,McLaren,1.0,1.0,MEDIUM,1.0,87.992,,30.023,28.116,322.0,318.0,309.0,287.0,1,False,26.6,44.2,43.0,False,1.8,3.0
2025,Italian Grand Prix,LEC,Ferrari,1.0,1.0,MEDIUM,1.0,88.28,,30.558,28.013,339.0,318.0,317.0,292.0,1,False,26.6,44.2,43.0,False,1.8,4.0
2025,Italian Grand Prix,RUS,Mercedes,1.0,1.0,MEDIUM,1.0,88.907,,30.234,28.243,328.0,319.0,310.0,286.0,1,False,26.6,44.2,43.0,False,1.8,5.0
2025,Italian Grand Prix,ALO,Aston Martin,1.0,1.0,MEDIUM,2.0,89.645,,30.38,28.63,340.0,317.0,309.0,298.0,1,False,26.6,44.2,43.0,False,1.8,6.0
2025,Italian Grand Prix,BOR,Kick Sauber,1.0,1.0,MEDIUM,1.0,90.149,,30.99,28.607,340.0,320.0,316.0,294.0,1,False,26.6,44.2,43.0,False,1.8,7.0
2025,Italian Grand Prix,HAM,Ferrari,1.0,1.0,MEDIUM,1.0,90.49,,31.219,28.299,339.0,313.0,317.0,298.0,1,False,26.6,44.2,43.0,False,1.8,8.0
2025,Italian Grand Prix,TSU,Red Bull Racing,1.0,1.0,MEDIUM,1.0,91.278,,31.382,28.985,337.0,326.0,311.0,257.0,1,False,26.6,44.2,43.0,False,1.8,9.0
2025,Italian Grand Prix,ANT,Mercedes,1.0,1.0,MEDIUM,1.0,91.686,,31.496,28.871,333.0,314.0,312.0,266.0,1,False,26.6,44.2,43.0,False,1.8,10.0
2025,Italian Grand Prix,BEA,Haas F1 Team,1.0,1.0,MEDIUM,1.0,91.914,,31.002,29.046,320.0,324.0,315.0,271.0,1,False,26.6,44.2,43.0,False,1.8,11.0
2025,Italian Grand Prix,SAI,Williams,1.0,1.0,MEDIUM,1.0,92.424,,31.052,29.14,331.0,315.0,312.0,278.0,1,False,26.6,44.2,43.0,False,1.8,12.0
2025,Italian Grand Prix,ALB,Williams,1.0,1.0,HARD,1.0,92.851,,31.206,29.271,323.0,330.0,312.0,272.0,1,False,26.6,44.2,43.0,False,1.8,13.0
2025,Italian Grand Prix,OCO,Haas F1 Team,1.0,1.0,HARD,1.0,93.184,,31.35,29.494,327.0,334.0,313.0,260.0,1,False,26.6,44.2,43.0,False,1.8,14.0
2025,Italian Grand Prix,LAW,Racing Bulls,1.0,1.0,SOFT,1.0,93.554,,31.422,29.496,342.0,333.0,313.0,291.0,1,False,26.6,44.2,43.0,False,1.8,15.0
2025,Italian Grand Prix,STR,Aston Martin,1.0,1.0,HARD,2.0,93.936,,32.185,29.244,303.0,316.0,312.0,268.0,1,False,26.6,44.2,43.0,False,1.8,16.0
2025,Italian Grand Prix,COL,Alpine,1.0,1.0,MEDIUM,1.0,94.322,,31.813,29.284,321.0,320.0,311.0,279.0,1,False,26.6,44.2,43.0,False,1.8,17.0
2025,Italian Grand Prix,HAD,Racing Bulls,1.0,1.0,HARD,2.0,94.878,,29.816,28.549,328.0,324.0,313.0,283.0,1,False,26.6,44.2,43.0,False,1.8,18.0
