Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
NOR,McLaren,1.0,1.0,MEDIUM,1.0,83.34,,37.264,21.219,189.0,176.0,252.0,267.0,12,False,22.0,43.9,51.0,False,1.2,1.0
LEC,Ferrari,1.0,1.0,MEDIUM,1.0,84.481,,37.212,21.765,187.0,181.0,253.0,269.0,12,False,22.0,43.9,51.0,False,1.2,2.0
PIA,McLaren,1.0,1.0,MEDIUM,1.0,86.141,,38.34,21.619,176.0,177.0,255.0,270.0,12,False,22.0,43.9,51.0,False,1.2,3.0
VER,Red Bull Racing,1.0,1.0,HARD,1.0,87.02,,38.394,21.759,170.0,178.0,253.0,258.0,12,False,22.0,43.9,51.0,False,1.2,4.0
HAD,Racing Bulls,1.0,1.0,MEDIUM,1.0,87.567,,38.756,21.437,173.0,175.0,255.0,244.0,12,False,22.0,43.9,51.0,False,1.2,5.0
ALO,Aston Martin,1.0,1.0,HARD,2.0,88.332,,38.958,21.505,172.0,178.0,256.0,273.0,12,False,22.0,43.9,51.0,False,1.2,6.0
HAM,Ferrari,1.0,1.0,HARD,1.0,89.406,,39.263,21.925,163.0,176.0,254.0,266.0,12,False,22.0,43.9,51.0,False,1.2,7.0
OCO,Haas F1 Team,1.0,1.0,MEDIUM,1.0,89.926,,39.394,21.91,152.0,181.0,256.0,267.0,12,False,22.0,43.9,51.0,False,1.2,8.0
LAW,Racing Bulls,1.0,1.0,MEDIUM,1.0,90.523,,39.544,21.909,161.0,175.0,258.0,274.0,12,False,22.0,43.9,51.0,False,1.2,9.0
ALB,Williams,1.0,1.0,MEDIUM,5.0,91.479,,40.146,22.03,165.0,168.0,253.0,276.0,12,False,22.0,43.9,51.0,False,1.2,10.0
SAI,Williams,1.0,1.0,HARD,1.0,92.413,,40.273,22.102,171.0,173.0,253.0,275.0,12,False,22.0,43.9,51.0,False,1.2,11.0
HUL,Kick Sauber,1.0,1.0,MEDIUM,1.0,92.788,,40.324,22.118,166.0,174.0,256.0,280.0,12,False,22.0,43.9,51.0,False,1.2,12.0
RUS,Mercedes,1.0,1.0,HARD,1.0,94.077,,40.601,22.289,154.0,178.0,255.0,278.0,126,False,22.0,43.9,51.0,False,1.2,13.0
ANT,Mercedes,1.0,1.0,HARD,1.0,94.721,,40.866,22.426,156.0,176.0,255.0,279.0,126,False,22.0,43.9,51.0,False,1.2,14.0
COL,Alpine,1.0,1.0,HARD,1.0,96.577,,41.29,22.86,142.0,176.0,167.0,274.0,126,False,22.0,43.9,51.0,False,1.2,15.0
STR,Aston Martin,1.0,1.0,HARD,2.0,98.018,,42.088,23.312,155.0,179.0,110.0,270.0,126,False,22.0,43.9,51.0,False,1.2,16.0
TSU,Red Bull Racing,1.0,1.0,SOFT,1.0,110.476,,40.335,39.397,164.0,180.0,,274.0,126,False,21.9,42.7,53.0,False,0.9,17.0
GAS,Alpine,1.0,1.0,MEDIUM,7.0,112.223,,40.955,39.268,158.0,180.0,,279.0,126,False,21.9,42.7,53.0,False,0.9,18.0
BEA,Haas F1 Team,1.0,1.0,MEDIUM,1.0,139.932,,42.114,64.803,147.0,176.0,,277.0,126,False,21.9,42.7,53.0,False,0.9,19.0
BOR,Kick Sauber,1.0,1.0,MEDIUM,1.0,145.564,,58.901,54.994,153.0,170.0,,222.0,126,False,21.9,42.7,53.0,False,0.9,20.0
NOR,McLaren,2.0,1.0,MEDIUM,2.0,104.634,34.072,44.185,26.377,97.0,144.0,136.0,252.0,16,True,21.7,42.7,53.0,False,0.9,1.0
LEC,Ferrari,2.0,1.0,MEDIUM,2.0,104.769,34.191,44.995,25.583,111.0,174.0,157.0,236.0,16,True,21.7,42.7,53.0,False,0.9,2.0
PIA,McLaren,2.0,1.0,MEDIUM,2.0,106.466,34.039,45.86,26.567,91.0,169.0,237.0,251.0,16,True,21.7,42.7,53.0,False,0.9,3.0
VER,Red Bull Racing,2.0,1.0,HARD,2.0,106.318,34.949,45.145,26.224,83.0,167.0,229.0,254.0,16,True,21.7,42.7,53.0,False,0.9,4.0
HAD,Racing Bulls,2.0,1.0,MEDIUM,2.0,106.692,36.151,45.078,25.463,75.0,181.0,232.0,255.0,16,True,21.7,42.7,53.0,False,0.9,5.0
ALO,Aston Martin,2.0,1.0,HARD,3.0,107.072,36.339,45.88,24.853,76.0,171.0,197.0,241.0,16,True,21.7,42.7,53.0,False,0.9,6.0
HAM,Ferrari,2.0,1.0,HARD,2.0,111.437,36.513,46.842,28.082,72.0,154.0,172.0,239.0,16,True,21.7,42.7,53.0,False,0.9,7.0
OCO,Haas F1 Team,2.0,1.0,MEDIUM,2.0,111.527,37.166,46.832,27.529,79.0,174.0,177.0,243.0,16,True,21.7,42.7,53.0,False,0.9,8.0
LAW,Racing Bulls,2.0,1.0,MEDIUM,2.0,112.308,38.001,46.718,27.589,82.0,175.0,214.0,237.0,16,True,21.7,42.7,53.0,False,0.9,9.0
ALB,Williams,2.0,1.0,MEDIUM,6.0,112.152,38.401,47.108,26.643,73.0,169.0,189.0,224.0,16,True,21.7,42.7,53.0,False,0.9,10.0
SAI,Williams,2.0,1.0,HARD,2.0,111.609,38.745,46.984,25.88,64.0,175.0,185.0,256.0,16,True,21.7,42.7,53.0,False,0.9,11.0
HUL,Kick Sauber,2.0,1.0,MEDIUM,2.0,112.404,39.508,47.565,25.331,63.0,170.0,171.0,243.0,16,True,21.7,42.7,53.0,False,0.9,12.0
RUS,Mercedes,2.0,1.0,HARD,2.0,111.593,38.966,47.377,25.25,56.0,181.0,127.0,259.0,6,True,21.7,42.7,53.0,False,0.9,13.0
ANT,Mercedes,2.0,1.0,HARD,2.0,111.408,39.052,48.171,24.185,60.0,177.0,122.0,257.0,6,True,21.7,42.7,53.0,False,0.9,14.0
COL,Alpine,2.0,1.0,HARD,2.0,110.894,37.987,48.498,24.409,66.0,173.0,110.0,246.0,6,True,21.7,42.7,53.0,False,0.9,15.0
STR,Aston Martin,2.0,1.0,HARD,3.0,109.806,38.104,48.427,23.275,76.0,179.0,115.0,236.0,6,True,21.7,42.7,53.0,False,0.9,16.0
TSU,Red Bull Racing,2.0,2.0,HARD,1.0,108.876,31.845,47.901,29.13,129.0,155.0,178.0,251.0,6,False,21.7,42.7,53.0,False,0.9,17.0
GAS,Alpine,2.0,2.0,MEDIUM,1.0,108.974,31.384,48.802,28.788,150.0,103.0,166.0,249.0,6,False,21.8,43.2,52.0,False,1.6,18.0
BEA,Haas F1 Team,2.0,2.0,HARD,1.0,110.654,31.873,49.013,29.768,143.0,139.0,177.0,231.0,6,False,21.8,43.2,52.0,False,1.6,19.0
BOR,Kick Sauber,2.0,2.0,HARD,1.0,109.746,31.568,48.667,29.511,115.0,164.0,179.0,178.0,6,False,21.8,43.2,52.0,False,1.6,20.0
NOR,McLaren,3.0,1.0,MEDIUM,3.0,109.015,30.118,49.715,29.182,147.0,173.0,213.0,250.0,6,False,21.9,43.2,51.0,False,1.0,1.0
LEC,Ferrari,3.0,1.0,MEDIUM,3.0,108.805,31.019,49.594,28.192,156.0,152.0,202.0,238.0,6,False,21.9,43.2,51.0,False,1.0,2.0
PIA,McLaren,3.0,1.0,MEDIUM,3.0,108.176,31.667,47.65,28.859,142.0,134.0,235.0,248.0,6,False,21.9,43.2,51.0,False,1.0,3.0
VER,Red Bull Racing,3.0,1.0,HARD,3.0,108.815,32.11,47.43,29.275,159.0,100.0,226.0,257.0,6,False,21.9,43.2,51.0,False,1.0,4.0
HAD,Racing Bulls,3.0,1.0,MEDIUM,3.0,109.414,32.612,47.304,29.498,156.0,107.0,218.0,263.0,6,False,21.9,43.2,51.0,False,1.0,5.0
ALO,Aston Martin,3.0,1.0,HARD,4.0,109.211,32.549,47.333,29.329,121.0,142.0,202.0,255.0,6,False,21.9,43.2,51.0,False,1.0,6.0
HAM,Ferrari,3.0,1.0,HARD,3.0,109.212,30.578,49.224,29.41,144.0,141.0,172.0,204.0,6,True,21.9,43.2,51.0,False,1.0,7.0
OCO,Haas F1 Team,3.0,1.0,MEDIUM,3.0,109.187,30.865,48.909,29.413,133.0,153.0,182.0,204.0,6,True,21.9,43.2,51.0,False,1.0,8.0
LAW,Racing Bulls,3.0,1.0,MEDIUM,3.0,108.504,30.768,48.63,29.106,131.0,128.0,172.0,255.0,6,True,21.9,43.2,51.0,False,1.0,9.0
ALB,Williams,3.0,1.0,MEDIUM,7.0,108.346,30.845,48.338,29.163,127.0,141.0,143.0,237.0,6,True,21.9,43.2,51.0,False,1.0,10.0
SAI,Williams,3.0,1.0,HARD,3.0,108.386,31.326,48.065,28.995,123.0,148.0,158.0,252.0,6,True,21.9,43.2,51.0,False,1.0,11.0
HUL,Kick Sauber,3.0,1.0,MEDIUM,3.0,108.106,31.084,48.213,28.809,129.0,142.0,133.0,239.0,6,True,21.9,43.2,51.0,False,1.0,12.0
RUS,Mercedes,3.0,1.0,HARD,3.0,108.563,31.387,48.171,29.005,122.0,142.0,170.0,224.0,6,True,21.9,43.2,51.0,False,1.0,13.0
ANT,Mercedes,3.0,1.0,HARD,3.0,108.871,31.739,47.91,29.222,113.0,150.0,154.0,235.0,6,True,21.9,43.2,51.0,False,1.0,14.0
COL,Alpine,3.0,1.0,HARD,3.0,108.913,31.865,47.462,29.586,105.0,141.0,190.0,234.0,6,True,21.9,43.2,51.0,False,1.0,15.0
STR,Aston Martin,3.0,1.0,HARD,4.0,109.353,32.616,47.59,29.147,89.0,173.0,191.0,224.0,6,True,21.9,43.2,51.0,False,1.0,16.0
TSU,Red Bull Racing,3.0,2.0,HARD,2.0,108.545,30.346,50.636,27.563,124.0,119.0,176.0,219.0,6,True,21.9,43.2,51.0,False,1.0,17.0
GAS,Alpine,3.0,2.0,MEDIUM,2.0,108.723,30.81,48.939,28.974,163.0,143.0,238.0,256.0,6,True,21.9,43.2,51.0,False,1.0,18.0
BEA,Haas F1 Team,3.0,2.0,HARD,2.0,110.334,30.303,49.245,30.786,152.0,117.0,224.0,242.0,6,True,22.0,42.7,53.0,False,0.8,19.0
BOR,Kick Sauber,3.0,2.0,HARD,2.0,109.362,30.442,47.534,31.386,151.0,170.0,117.0,224.0,6,True,22.0,42.7,53.0,False,0.8,20.0
NOR,McLaren,4.0,1.0,MEDIUM,4.0,101.564,31.321,47.988,22.255,141.0,121.0,253.0,248.0,671,True,22.0,42.7,53.0,False,0.8,1.0
LEC,Ferrari,4.0,1.0,MEDIUM,4.0,101.248,31.076,48.358,21.814,148.0,99.0,262.0,239.0,671,True,22.0,42.7,53.0,False,0.8,2.0
PIA,McLaren,4.0,1.0,MEDIUM,4.0,100.676,31.527,47.809,21.34,118.0,120.0,256.0,249.0,671,True,22.0,41.3,55.0,False,0.5,3.0
VER,Red Bull Racing,4.0,1.0,HARD,4.0,100.29,31.006,47.889,21.395,136.0,170.0,262.0,253.0,671,True,22.0,41.3,55.0,False,0.5,4.0
HAD,Racing Bulls,4.0,1.0,MEDIUM,4.0,99.64,31.302,47.155,21.183,149.0,171.0,261.0,264.0,671,True,22.0,41.3,55.0,False,0.5,5.0
ALO,Aston Martin,4.0,1.0,HARD,5.0,99.675,31.606,46.693,21.376,119.0,174.0,263.0,240.0,671,True,22.0,41.3,55.0,False,0.5,6.0
HAM,Ferrari,4.0,1.0,HARD,4.0,94.73,27.939,45.562,21.229,142.0,182.0,264.0,242.0,671,True,22.0,41.3,55.0,False,0.5,7.0
OCO,Haas F1 Team,4.0,1.0,MEDIUM,4.0,95.23,28.787,45.184,21.259,122.0,178.0,258.0,237.0,671,True,22.0,41.3,55.0,False,0.5,8.0
LAW,Racing Bulls,4.0,1.0,MEDIUM,4.0,95.354,29.548,44.631,21.175,94.0,178.0,263.0,247.0,671,True,22.0,41.3,55.0,False,0.5,9.0
ALB,Williams,4.0,1.0,MEDIUM,8.0,96.006,29.942,44.769,21.295,99.0,175.0,254.0,264.0,671,True,22.0,41.3,55.0,False,0.5,10.0
SAI,Williams,4.0,1.0,HARD,4.0,96.808,30.511,44.759,21.538,88.0,176.0,252.0,265.0,671,True,22.0,41.3,55.0,False,0.5,11.0
HUL,Kick Sauber,4.0,1.0,MEDIUM,4.0,96.696,30.734,44.625,21.337,87.0,182.0,261.0,256.0,671,True,22.0,41.3,55.0,False,0.5,12.0
RUS,Mercedes,4.0,1.0,HARD,4.0,96.667,30.937,44.182,21.548,83.0,179.0,263.0,258.0,671,True,22.0,41.3,55.0,False,0.5,13.0
ANT,Mercedes,4.0,1.0,HARD,4.0,96.575,30.84,44.027,21.708,83.0,178.0,263.0,258.0,671,True,22.0,41.3,55.0,False,0.5,14.0
COL,Alpine,4.0,1.0,HARD,4.0,96.476,30.548,44.583,21.345,86.0,180.0,255.0,208.0,671,True,22.0,41.3,55.0,False,0.5,15.0
STR,Aston Martin,4.0,1.0,HARD,5.0,96.353,30.374,44.702,21.277,97.0,178.0,266.0,223.0,671,True,22.0,41.3,55.0,False,0.5,16.0
TSU,Red Bull Racing,4.0,2.0,HARD,3.0,93.097,30.659,41.483,20.955,113.0,183.0,254.0,272.0,671,True,22.0,41.3,55.0,False,0.5,17.0
GAS,Alpine,4.0,2.0,MEDIUM,3.0,91.509,31.667,39.044,20.798,150.0,186.0,262.0,277.0,671,True,22.0,41.3,55.0,False,0.5,18.0
BEA,Haas F1 Team,4.0,2.0,HARD,3.0,82.127,25.405,36.559,20.163,190.0,190.0,254.0,272.0,671,True,22.0,41.3,55.0,False,0.5,19.0
BOR,Kick Sauber,4.0,2.0,HARD,3.0,83.609,26.11,36.882,20.617,174.0,184.0,252.0,271.0,671,True,22.0,41.3,55.0,False,0.5,20.0
NOR,McLaren,5.0,1.0,MEDIUM,5.0,78.05,20.559,36.559,20.932,200.0,180.0,254.0,272.0,1,True,21.9,42.0,54.0,False,0.9,1.0
LEC,Ferrari,5.0,1.0,MEDIUM,5.0,78.801,20.597,37.317,20.887,196.0,186.0,254.0,273.0,1,True,21.9,42.0,54.0,False,0.9,2.0
PIA,McLaren,5.0,1.0,MEDIUM,5.0,80.048,20.991,37.756,21.301,183.0,182.0,255.0,272.0,1,True,21.9,42.0,54.0,False,0.9,3.0
VER,Red Bull Racing,5.0,1.0,HARD,5.0,80.8,21.744,37.485,21.571,177.0,173.0,254.0,262.0,1,True,21.9,42.0,54.0,False,0.9,4.0
HAD,Racing Bulls,5.0,1.0,MEDIUM,5.0,80.952,21.487,37.886,21.579,172.0,180.0,254.0,269.0,1,True,21.9,42.0,54.0,False,0.9,5.0
ALO,Aston Martin,5.0,1.0,HARD,6.0,80.94,21.215,38.446,21.279,180.0,179.0,262.0,272.0,1,True,21.9,42.0,54.0,False,0.9,6.0
HAM,Ferrari,5.0,1.0,HARD,5.0,81.057,21.429,38.341,21.287,176.0,181.0,263.0,274.0,1,True,21.9,42.0,54.0,False,0.9,7.0
OCO,Haas F1 Team,5.0,1.0,MEDIUM,5.0,80.666,21.232,38.039,21.395,168.0,184.0,265.0,276.0,1,True,21.9,42.0,54.0,False,0.9,8.0
LAW,Racing Bulls,5.0,1.0,MEDIUM,5.0,80.766,21.045,38.201,21.52,170.0,178.0,264.0,275.0,1,True,21.9,42.0,54.0,False,0.9,9.0
ALB,Williams,5.0,1.0,MEDIUM,9.0,80.465,21.014,38.074,21.377,181.0,171.0,261.0,277.0,1,True,21.9,42.0,54.0,False,0.9,10.0
SAI,Williams,5.0,1.0,HARD,5.0,80.58,21.17,37.671,21.739,186.0,175.0,252.0,276.0,1,True,21.9,42.0,54.0,False,0.9,11.0
HUL,Kick Sauber,5.0,1.0,MEDIUM,5.0,80.475,21.179,37.573,21.723,187.0,174.0,262.0,276.0,1,True,21.9,42.0,54.0,False,0.9,12.0
RUS,Mercedes,5.0,1.0,HARD,5.0,80.576,21.536,37.379,21.661,178.0,183.0,257.0,275.0,1,True,21.9,42.0,54.0,False,0.9,13.0
ANT,Mercedes,5.0,1.0,HARD,5.0,80.377,21.314,37.578,21.485,178.0,181.0,264.0,277.0,1,True,21.9,42.0,54.0,False,0.9,14.0
COL,Alpine,5.0,1.0,HARD,5.0,79.999,20.959,37.709,21.331,179.0,179.0,262.0,280.0,1,True,21.9,42.0,54.0,False,0.9,15.0
STR,Aston Martin,5.0,1.0,HARD,6.0,80.285,21.136,37.834,21.315,186.0,186.0,260.0,279.0,1,True,21.9,42.0,54.0,False,0.9,16.0
TSU,Red Bull Racing,5.0,2.0,HARD,4.0,78.663,21.055,36.977,20.631,190.0,185.0,255.0,275.0,1,True,21.9,42.0,54.0,False,0.9,17.0
GAS,Alpine,5.0,2.0,MEDIUM,4.0,78.864,21.094,37.068,20.702,189.0,184.0,263.0,280.0,1,True,21.9,42.0,54.0,False,0.9,18.0
BEA,Haas F1 Team,5.0,2.0,HARD,4.0,75.576,20.059,35.746,19.771,203.0,191.0,255.0,274.0,1,True,21.9,42.0,54.0,False,0.9,19.0
BOR,Kick Sauber,5.0,2.0,HARD,4.0,76.394,20.236,36.043,20.115,194.0,191.0,254.0,272.0,1,True,21.9,42.2,54.0,False,1.1,20.0
NOR,McLaren,6.0,1.0,MEDIUM,6.0,79.172,20.643,37.367,21.162,200.0,180.0,254.0,266.0,1,False,21.9,42.2,54.0,False,1.1,1.0
