Year,Round,EventName,Driver,Team,GridPosition,QualiPosition,RacePosition,Points,Status
2026,1,Australian Grand Prix,RUS,Mercedes,1.0,1.0,1.0,25.0,Finished
2026,1,Australian Grand Prix,ANT,Mercedes,2.0,2.0,2.0,18.0,Finished
2026,1,Australian Grand Prix,LEC,Ferrari,4.0,4.0,3.0,15.0,Finished
2026,1,Australian Grand Prix,HAM,Ferrari,7.0,7.0,4.0,12.0,Finished
2026,1,Australian Grand Prix,NOR,McLaren,6.0,6.0,5.0,10.0,Finished
2026,1,Australian Grand Prix,VER,Red Bull Racing,20.0,,6.0,8.0,Finished
2026,1,Australian Grand Prix,BEA,Haas F1 Team,12.0,12.0,7.0,6.0,Lapped
2026,1,Australian Grand Prix,LIN,Racing Bulls,9.0,9.0,8.0,4.0,Lapped
2026,1,Australian Grand Prix,BOR,Audi,10.0,10.0,9.0,2.0,Lapped
2026,1,Australian Grand Prix,GAS,Alpine,14.0,14.0,10.0,1.0,Lapped
2026,1,Australian Grand Prix,OCO,Haas F1 Team,13.0,13.0,11.0,0.0,Lapped
2026,1,Australian Grand Prix,ALB,Williams,15.0,15.0,12.0,0.0,Lapped
2026,1,Australian Grand Prix,LAW,Racing Bulls,8.0,8.0,13.0,0.0,Lapped
2026,1,Australian Grand Prix,COL,Alpine,16.0,16.0,14.0,0.0,Lapped
2026,1,Australian Grand Prix,SAI,Williams,21.0,,15.0,0.0,Lapped
2026,1,Australian Grand Prix,PER,Cadillac,18.0,18.0,16.0,0.0,Lapped
2026,1,Australian Grand Prix,STR,Aston Martin,22.0,,17.0,0.0,Lapped
2026,1,Australian Grand Prix,ALO,Aston Martin,17.0,17.0,18.0,0.0,Retired
2026,1,Australian Grand Prix,BOT,Cadillac,19.0,19.0,19.0,0.0,Retired
2026,1,Australian Grand Prix,HAD,Red Bull Racing,3.0,3.0,20.0,0.0,Retired
2026,1,Australian Grand Prix,PIA,McLaren,5.0,5.0,21.0,0.0,Did not start
2026,1,Australian Grand Prix,HUL,Audi,11.0,11.0,22.0,0.0,Did not start
2026,2,Chinese Grand Prix,ANT,Mercedes,1.0,1.0,1.0,25.0,Finished
2026,2,Chinese Grand Prix,RUS,Mercedes,2.0,2.0,2.0,18.0,Finished
2026,2,Chinese Grand Prix,HAM,Ferrari,3.0,3.0,3.0,15.0,Finished
2026,2,Chinese Grand Prix,LEC,Ferrari,4.0,4.0,4.0,12.0,Finished
2026,2,Chinese Grand Prix,BEA,Haas F1 Team,10.0,10.0,5.0,10.0,Finished
2026,2,Chinese Grand Prix,GAS,Alpine,7.0,7.0,6.0,8.0,Finished
2026,2,Chinese Grand Prix,LAW,Racing Bulls,14.0,14.0,7.0,6.0,Finished
2026,2,Chinese Grand Prix,HAD,Red Bull Racing,9.0,9.0,8.0,4.0,Finished
2026,2,Chinese Grand Prix,SAI,Williams,17.0,17.0,9.0,2.0,Lapped
2026,2,Chinese Grand Prix,COL,Alpine,12.0,12.0,10.0,1.0,Lapped
2026,2,Chinese Grand Prix,HUL,Audi,11.0,11.0,11.0,0.0,Lapped
2026,2,Chinese Grand Prix,LIN,Racing Bulls,15.0,15.0,12.0,0.0,Lapped
2026,2,Chinese Grand Prix,BOT,Cadillac,19.0,20.0,13.0,0.0,Lapped
2026,2,Chinese Grand Prix,OCO,Haas F1 Team,13.0,13.0,14.0,0.0,Lapped
2026,2,Chinese Grand Prix,PER,Cadillac,21.0,22.0,15.0,0.0,Lapped
2026,2,Chinese Grand Prix,VER,Red Bull Racing,8.0,8.0,16.0,0.0,Retired
2026,2,Chinese Grand Prix,ALO,Aston Martin,18.0,19.0,17.0,0.0,Retired
2026,2,Chinese Grand Prix,STR,Aston Martin,20.0,21.0,18.0,0.0,Retired
2026,2,Chinese Grand Prix,PIA,McLaren,5.0,5.0,19.0,0.0,Did not start
2026,2,Chinese Grand Prix,NOR,McLaren,6.0,6.0,20.0,0.0,Did not start
2026,2,Chinese Grand Prix,BOR,Audi,16.0,16.0,21.0,0.0,Did not start
2026,2,Chinese Grand Prix,ALB,Williams,22.0,18.0,22.0,0.0,Did not start
2026,3,Japanese Grand Prix,ANT,Mercedes,1.0,1.0,1.0,25.0,Finished
2026,3,Japanese Grand Prix,PIA,McLaren,3.0,3.0,2.0,18.0,Finished
2026,3,Japanese Grand Prix,LEC,Ferrari,4.0,4.0,3.0,15.0,Finished
2026,3,Japanese Grand Prix,RUS,Mercedes,2.0,2.0,4.0,12.0,Finished
2026,3,Japanese Grand Prix,NOR,McLaren,5.0,5.0,5.0,10.0,Finished
2026,3,Japanese Grand Prix,HAM,Ferrari,6.0,6.0,6.0,8.0,Finished
2026,3,Japanese Grand Prix,GAS,Alpine,7.0,7.0,7.0,6.0,Finished
2026,3,Japanese Grand Prix,VER,Red Bull Racing,11.0,11.0,8.0,4.0,Finished
